data,hora,taxa
2022/07/19,21:12:25,13.588825497554058
2022/07/19,21:12:27,12.862075824725238
2022/07/19,21:12:29,13.191521896993091
2022/07/19,21:12:32,13.365699206404598
2022/07/19,21:12:34,13.352776573916962
2022/07/19,21:12:36,13.592323259586085
2022/07/19,21:12:38,12.917613676881121
2022/07/19,21:12:40,13.518063734312184
2022/07/19,21:12:42,13.271901617877843
2022/07/19,21:12:44,13.478270906416832
2022/07/19,21:23:25,13.111936551317752
2022/07/19,21:23:28,13.244168196506564
2022/07/19,21:23:29,13.044861365046568
2022/07/19,21:23:31,13.250931725953961
2022/07/19,21:23:34,13.031414893484733
2022/07/19,21:23:36,13.476745757915108
2022/07/19,21:23:39,13.400617678579549
2022/07/19,21:23:41,12.687199317865014
2022/07/19,21:23:43,12.846556808522166
2022/07/19,21:23:46,13.336332320313117
